station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Fairmount Ave,40.72572613742560,-74.07195925712580,244,381.0,201,380.0,Feb
McGinley Square,40.7253399253558,-74.06762212514880,531,255.0,389,251.0,Feb
Lincoln Park,40.7246050998869,-74.07840594649320,134,544.0,150,525.5,Feb
Brunswick St,40.7241765,-74.05065640000000,508,282.5,459,304.0,Feb
Lafayette Park,40.71346382669200,-74.06285852193830,194,592.0,209,640.0,Feb
Brunswick & 6th,40.726011729646200,-74.0503889322281,654,318.0,494,324.0,Feb
Sip Ave,40.73089709786180,-74.06391263008120,1402,393.0,1342,361.0,Feb
York St,40.71649,-74.04105,204,266.0,223,321.0,Feb
JC Medical Center,40.71653978099190,-74.0496379137039,317,330.0,326,368.5,Feb
Riverview Park,40.7443187,-74.04399090000000,99,758.0,74,657.0,Feb
Christ Hospital,40.734785818,-74.050443636,153,436.0,109,478.0,Feb
Pershing Field,40.742677141,-74.051788633,209,492.0,181,514.0,Feb
Union St,40.71821130000000,-74.08363940000000,59,758.0,83,699.0,Feb
Astor Place,40.71928220070700,-74.07126188278200,279,431.0,285,414.0,Feb
Jersey & 3rd,40.723331586464400,-74.04595255851740,526,202.0,528,219.5,Feb
Dixon Mills,40.72163014263840,-74.04996782541280,464,204.5,404,220.0,Feb
Bergen Ave,40.72210378668600,-74.07145500183100,274,381.5,240,366.0,Feb
Essex Light Rail,40.712774200000000,-74.03648570000000,300,325.0,322,366.5,Feb
Grove St PATH,40.71958611647170,-74.0431174635887,2328,276.5,3109,261.0,Feb
Leonard Gordon Park,40.74590996631560,-74.05727148056030,77,503.0,71,547.0,Feb
Montgomery St,40.71942,-74.05099,227,369.0,224,378.0,Feb
Morris Canal,40.7124188237569,-74.03852552175520,494,299.0,479,322.0,Feb
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,146,497.5,171,472.0,Feb
Hilltop,40.7311689,-74.0575736,142,479.0,105,514.0,Feb
Paulus Hook,40.7141454,-74.0335519,440,370.5,442,358.5,Feb
Journal Square,40.733670000000000,-74.0625,370,378.0,362,362.5,Feb
Columbus Dr at Exchange Pl,40.71687,-74.03281,922,300.0,1003,300.0,Feb
Jackson Square,40.71113,-74.0789,100,843.0,76,711.0,Feb
5 Corners Library,40.73496102000950,-74.05950307846070,109,407.0,94,666.5,Feb
Heights Elevator,40.748715945380200,-74.04044330120090,99,806.0,80,1002.5,Feb
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,49,671.0,57,550.0,Feb
Glenwood Ave,40.72755146730010,-74.07106071710590,120,432.5,112,313.0,Feb
Newport PATH,40.7272235,-74.03375890000000,699,430.0,674,445.0,Mar
City Hall,40.717732500000000,-74.04384500000000,510,409.0,566,424.0,Mar
Jersey & 3rd,40.723331586464400,-74.04595255851740,452,234.5,456,263.0,Mar
McGinley Square,40.7253399253558,-74.06762212514880,365,253.0,310,287.0,Mar
Baldwin at Montgomery,40.7236589,-74.0641943,225,521.0,216,553.5,Mar
Essex Light Rail,40.712774200000000,-74.03648570000000,227,468.0,235,414.0,Mar
Manila & 1st,40.72165072488000,-74.04288411140440,363,264.0,377,269.0,Mar
Columbus Drive,40.71835519823210,-74.03891444206240,395,357.0,410,352.5,Mar
Fairmount Ave,40.72572613742560,-74.07195925712580,198,513.0,155,451.0,Mar
Brunswick St,40.7241765,-74.05065640000000,321,328.0,287,319.0,Mar
Morris Canal,40.7124188237569,-74.03852552175520,436,544.0,446,540.0,Mar
Marin Light Rail,40.71458403535890,-74.04281705617910,740,474.0,694,542.0,Mar
Columbus Dr at Exchange Pl,40.71687,-74.03281,633,358.0,673,387.0,Mar
Newark Ave,40.72152515,-74.046304543,469,312.0,516,324.0,Mar
Hamilton Park,40.727595966000000,-74.044247311,910,357.5,871,368.0,Mar
Brunswick & 6th,40.726011729646200,-74.0503889322281,412,317.0,340,342.0,Mar
Astor Place,40.71928220070700,-74.07126188278200,196,435.5,210,426.0,Mar
JC Medical Center,40.71653978099190,-74.0496379137039,381,683.0,382,717.0,Mar
Harborside,40.71925170000000,-74.034234,858,400.0,836,382.0,Mar
Sip Ave,40.73089709786180,-74.06391263008120,888,391.0,801,349.0,Mar
Washington St,40.7242941,-74.0354826,382,433.5,381,513.0,Mar
